Обнаружены следующие ошибки:
Объект - Строка - 70; наименование - Чебуречище горячая штучка 0,14кг Поком в количестве 12 НЕ НАЙДЕН.
	Строка - 110; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004819/","Пельмени «Бульмени мини с мясом и оливковым маслом» Фикс.вес 0,7 сфера ТМ «Горячая штучка»"), в количестве 12
Перенос данных из Строка - 42; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка  флоу-пак сфера 0,4 кг  Поком ==> 
	Строка - 111; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004474/","Пельмени «Бульмени с говядиной и свининой» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 12
Перенос данных из Строка - 43; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка БУЛЬМЕНИ  флоу-пак сфера 0,7 кг.  Поком ==> 
	Строка - 112; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004345/","Пельмени «Бульмени с говядиной и свининой» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 44; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка  флоу-пак сфера 0,4 кг .  Поком ==> 
	Строка - 114; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004444/","Пельмени «Бульмени со сливочным маслом» Фикс.вес 0,4 ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 45; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка флоу-пак сфера 0,7 кг .  Поком ==> 
	Строка - 115; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004346/","Пельмени «Бульмени со сливочным маслом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 48
Перенос данных из Строка - 46; наименование - Пельмени Домашние со сливочным маслом ТМ Зареченские  продукты флоу-пак сфера 0,7 кг.  Поком ==> 
	Строка - 279; наименование - Пельмени «Домашние со сливочным маслом» 0,7 сфера ТМ «Зареченские», в количестве 24
Перенос данных из Строка - 47; наименование - Пельмени Медвежьи ушки с фермерскими сливками ТМ Стародв флоу-пак классическая форма 0,7 кг.  Поком ==> 
	Строка - 215; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежьи ушки/Пельмени/P003920/","Пельмени «Медвежьи ушки с фермерскими сливками» 0,7 Классическая форма ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 48; наименование - Пельмени Медвежьи ушки с фермерской свининой и говядиной Большие флоу-пак класс 0,7 кг  Поком ==> 
	Строка - 217; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежьи ушки/Пельмени/P003641/","Пельмени «Медвежьи ушки с фермерской свининой и говядиной Большие» 0,7 классическая форма ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 49; наименование - Пельмени Медвежьи ушки с фермерской свининой и говядиной Малые флоу-пак классическая 0,7 кг  Поком ==> 
	Строка - 219; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежьи ушки/Пельмени/P003631/","Пельмени «Медвежьи ушки с фермерской свининой и говядиной Малые» 0,7 Классическая форма ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 52; наименование - Пельмени Отборные из свинины и говядины 0,9 кг ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 225; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003004/","Пельмени Отборные из свинины и говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 36
Перенос данных из Строка - 53; наименование - Пельмени Отборные с говядиной 0,9 кг НОВА ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 227; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003005/","Пельмени Отборные из говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 24
Перенос данных из Строка - 55; наименование - Пельмени Со свининой и говядиной ТМ Особый рецепт Любимая ложка 1,0 кг  ПОКОМ ==> 
	Строка - 261; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Особый рецепт/Любимая ложка/Пельмени/P004081/","Пельмени Со свининой и говядиной Любимая ложка 1,0 Равиоли Особый рецепт"), в количестве 72
Перенос данных из Строка - 59; наименование - Хотстеры ТМ Горячая штучка ТС Хотстеры 0,25 кг зам  ПОКОМ ==> 
	Строка - 131; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004489/","Снеки «Хотстеры» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 112
Перенос данных из Строка - 61; наименование - Хрустящие крылышки ТМ Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 88; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Крылышки ГШ/Крылья/P004588/","Крылья «Хрустящие крылышки» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 98
Перенос данных из Строка - 62; наименование - Хрустящие крылышки ТМ Зареченские ТС Зареченские продукты.   Поком ==> 
	Строка - 284; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Крылья/P003488/","Крылья «Хрустящие крылышки» Весовой ТМ «Зареченские» 1,8 кг"), в количестве 72
Перенос данных из Строка - 63; наименование - Хрустящие крылышки острые к пиву ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 89; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Крылышки ГШ/Крылья/P004589/","Крылья «Крылышки острые к пиву» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 56
Перенос данных из Строка - 65; наименование - Чебупели с мясом Базовый ассортимент Фикс.вес 0,48 Лоток Горячая штучка ХХЛ  Поком ==> 
	Строка - 98; наименование - Снеки «Готовые чебупели сочные с мясом» Фикс.вес 0,48 ТМ «Горячая штучка», в количестве 28
Перенос данных из Строка - 66; наименование - Чебупицца Пепперони ТМ Горячая штучка ТС Чебупицца 0.25кг зам  ПОКОМ ==> 
	Строка - 125; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004486/","Снеки «Чебупицца Пепперони» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 56
Перенос данных из Строка - 67; наименование - Чебупицца курочка по-итальянски Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 124; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004484/","Снеки «Чебупицца курочка По-итальянски» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 98
Перенос данных из Строка - 68; наименование - Чебуреки Мясные вес 2,7 кг ТМ Зареченские ТС Зареченские продукты   Поком ==> 
	Строка - 293; наименование - Чебуреки «Мясные» Весовые ТМ «Зареченские» 2,7 кг, в количестве 14
Перенос данных из Строка - 69; наименование - Чебуреки сочные ТМ Зареченские ТС Зареченские продукты.  Поком ==> 
	Строка - 294; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003476/","Чебуреки «Сочные» Весовые ТМ «Зареченские» 5 кг"), в количестве 120

Количество коробок с  продукцией из первого файла составляет: 1656 шт.
Количество коробок продукции из второго файла составляет: 1644 шт.
